Rank this Wk,3 Wks ago,6 Wks ago,Industry Group Name,Group Composite Rating,YTD % Change,Day's % Change
1,1,1,  Commsvc-Staffng,88,88,3
2,15,62,  Compsftwr-Med,89,7,-1
3,9,107,  Compsftwr-Enterprise,93,5,1
4,25,2,  Oil&Gas-Refin/Mktg,87,91,1
5,2,15,  Hsehold/Applianc,87,45,-1
6,3,3,  Compsftwr-Secur,94,81,-3
7,4,8,  Busines Equipsupplies,90,50,-1
8,28,19,  Commsvc-Outsrcng,90,9,0
9,21,48,  Med-Research,85,7,-1
10,36,38,  Trnsport-Ship,87,55,0
11,18,80,  Leisure-Trvlbook,89,-5,2
12,89,85,  Compsftwr-Ed/Media,89,-5,4
13,6,11,  Medical-Svcs,79,26,-2
14,75,133,  Compsftwr-Desgn,85,-7,-2
15,26,32,  Oil&Gas-Shipping,90,64,0
16,59,72,  Retail-Wholesauto,66,1,0
17,68,54,  Finance-Crdcard,89,-2,0
18,17,23,  Banks-Monycntr,90,19,1
19,72,60,  Finance-Invbnk,89,3,0
20,11,17,  Med-Devicebio,71,33,-4
21,27,14,  Compsftwr-Hrdwr,88,216,-1
22,100,121,  Cannabis,69,-1,2
23,76,96,  Med-Revenubio,72,16,-4
24,8,10,  Compsftwr-Netwrk,89,55,-2
25,5,52,  Consum-Electrncs,79,38,-2
26,43,78,  Retail-Internet,77,7,3
27,42,4,  Telecm-Cnsmrprds,84,14,2
28,45,7,  Trnsport-Rail,77,28,0
29,20,55,  Security/Safety,87,10,-1
30,7,5,  Retail-Homfurn,72,33,-1
31,52,71,  Finance-Invmgmt,88,-1,0
32,13,36,  Elec-Semicfablss,80,26,-4
33,105,117,  Commsvc-Mktrsrch,80,-19,1
34,56,124,  Mining-Metalores,89,39,-2
35,107,84,  Financesvc-Spec,86,5,1
36,69,51,  Beverage-Non-Alcohol,79,22,1
37,31,9,  Med-Mngdcare,82,21,0
38,22,64,  Steel-Producers,77,29,-1
39,12,24,  Elec-Sci/Msrng,80,66,-2
40,50,82,  Commsvcs-Advertising,89,-7,0
41,66,115,  Finance-Comloan,88,-4,0
42,85,119,  Media,84,-7,1
43,40,50,  Finance-Consmloan,87,0,-2
44,14,25,  Electronic-Parts,76,47,-2
45,60,35,  Insurance,87,5,1
46,102,122,  Energy-Coal,79,33,-2
47,44,13,  Banks-S&Ls,88,24,0
48,112,102,  Oil&Gas-Fieldsvcs,86,43,2
49,30,33,  Elec-Semic/Mfg,73,52,-2
50,10,28,  Building-Tools,70,29,-1
51,32,44,  Trnsport-Eqpmanu,89,33,-2
52,82,79,  Med-Proftbio,84,13,-2
53,61,63,  Banks-Foreign,85,6,0
54,78,104,  Telecm-Intrastrc,53,47,0
55,46,22,  Banks-Regional,88,16,0
56,35,69,  Telecom-Equip,57,107,-5
57,90,59,  Oil&Gas-Explo/Prodc,81,35,-1
58,67,21,  Reits,65,20,-1
59,38,49,  Containrs/Packg,83,11,0
60,63,41,  Medical-Pharma,77,10,0
61,16,12,  Med-Homenurs,88,21,-2
62,71,18,  Trnsport-Airfrght,81,30,0
63,37,20,  Banks-Super Regional,80,12,0
64,47,89,  Diversoperatns,80,7,0
65,137,138,  Finance-Crypto,75,5,-8
66,19,16,  Elec-Semiequip,73,65,-4
67,130,134,  Compsftwr-Financial,88,-38,1
68,83,110,  Consum-Eductn,78,4,1
69,94,95,  Compsftwr-Gaming,85,-15,1
70,120,140,  Compsftwr-Databs,91,-20,0
71,101,29,  Oil&Gas-Pipeline,83,22,0
72,81,93,  Oil&Gas-Mach/Eqp,81,39,0
73,103,142,  Mining-Gold/Silvr,91,11,-4
74,88,56,  Oil&Gas-Integratd,75,34,0
75,125,26,  Agriculturalops,67,28,2
76,108,97,  Oil&Gas-Drilling,69,57,0
77,39,37,  Leisure-Products,68,10,0
78,99,111,  Medical-Prods,82,-14,1
79,33,40,  Food-Wholesale,64,17,-1
80,138,92,  Chem-Agriculture,70,20,0
81,55,30,  Mach-Cons/Min/Frm,72,36,-1
82,62,83,  Leisure-Services,64,-2,0
83,96,91,  Med-Distributn,80,1,0
84,97,118,  Commsvcs-Consult,86,-4,0
85,65,98,  Paper&Paprprods,..    ,0,-1
86,104,130,  Internet-Netwksol,71,23,-3
87,116,139,  Computer-Techsvc,86,-22,-1
88,48,39,  Elec-Contract Mfg,68,40,-4
89,54,88,  Machn-Genindus,70,4,2
90,23,47,  Elec-Miscprods,72,42,-2
91,86,34,  Tobacco,65,11,0
92,41,58,  Beverage-Alcohol,40,15,0
93,113,87,  Cosmetics/Perscare,71,1,0
94,91,65,  Pollutioncntrl,73,0,1
95,139,141,  Leisure-Movies,83,-16,2
96,29,42,  Trnsport-Airline,68,-2,-1
97,57,6,  Trnsport-Truck,62,35,-1
98,110,99,  Leisure/Gamingeqp,75,-19,1
99,24,46,  Commsvcs-Leasing,73,15,-1
100,74,57,  Retail-Specialty,57,8,-2
101,124,127,  Telecm-Cablesvc,63,2,1
102,49,74,  Auto/Truck Parts,59,7,0
103,34,45,  Metalprds-Dist/Fab,66,23,-1
104,87,68,  Chemicals-Specialty,63,16,0
105,132,106,  Realestdevel/Ops,65,-1,0
106,122,101,  Internet-Content,78,-3,2
107,93,108,  Consum-Spec,67,1,-1
108,77,61,  Machn-Metal,78,15,-2
109,79,94,  Bldg-Residential/Comml,55,-1,1
110,140,126,  Compsftwr-Spcent,79,-31,1
111,114,136,  Med-Hospitals,87,-11,0
112,109,105,  Chemicals-Basic,60,17,1
113,115,77,  Food-Packagd,71,1,0
114,129,128,  Retail-Restaurnts,70,-3,2
115,64,27,  Steel-Specalloy,70,41,-2
116,126,100,  Hsehold/Offcfurn,76,-17,2
117,136,131,  Automakers,58,-10,-1
118,111,137,  Medical-Systms,79,-16,0
119,128,123,  Finance-Mortg,81,-23,-2
120,51,53,  Bldg-Constrprods,56,10,-1
121,117,90,  Leisure-Lodging,64,7,-1
122,70,73,  Electrcl-Powreqp,63,23,-3
123,118,66,  Food-Foodstuffs,59,-1,1
124,95,76,  Energy-Alt/Other,91,21,-3
125,127,116,  Chemicals-Plastics,67,22,1
126,133,31,  Trnsport-Logistcs,92,3,0
127,53,81,  Retail-Apprl/Shoe,65,0,0
128,84,129,  Aerospc/Defnse,65,0,-1
129,58,43,  Trucks&Prts-Hvydut,46,16,-1
130,106,103,  Telecmsvcs-Forgn,50,3,-1
131,123,112,  Apparel-Clothng/Shoe,67,-24,1
132,141,120,  Bldg-Cement/Concrt/Ag,65,-13,0
133,80,125,  Retail-Wholebldg,69,-8,0
134,121,75,  Utilities,54,5,-1
135,134,67,  Oil&Gas-Royaltrust,71,36,-1
136,119,135,  Retail-Autoparts,56,-12,1
137,73,70,  Bldg-Heavyconst,51,20,-3
138,131,114,  Retail-General,61,-1,0
139,142,132,  Bllg-Maint/Svc,81,-26,1
140,92,86,  Retail-Leisure,55,-19,1
141,135,113,  Retail-Supermkts,56,-10,0
142,98,109,  Energy-Solar,..    ,-16,-4
