Symbol,Price,Industry Group Rank,Price % Change,Vol. % Change,IBD Comp. Rating,RS Rating,Acc/Dis Rating,EPS Rating,SMR Rating,Ind Grp RS,PE Ratio,Vol. 50 Day Avg. (1000s)
AAA,24.95,,,-40,,34,A+,,,,,26
AAAA,30.97,,-0.12,57,,71,C,,,,,6
AAAC,20.09,,,-100,,39,C,,,,,96
AAAD,49.59,,-0.16,-22,,35,,,,,,0
AAAP,25.36,,0.06,269,,41,,,,,,
AAAU,43.16,,0.63,-52,,36,C,,,,,1513
AACB,10.59,,0.14,37,,,C,,,,92,44
AACI,10.04,,0.4,-100,,,D+,,,,48,29
AACO,9.96,,0.1,-85,,,C,,,,8,15
AACP,10.03,,,-100,,,,,,,90,112
AADR,84.91,,-0.11,-2,,29,A,,,,,3
AAEQ,55.35,,-0.2,-85,,63,C,,,,,1
AALG,13.12,,-3.21,-20,,44,E,,,,,30
AAOG,5.4,,31.07,138,,10,E,,,,,1930
AAOX,24.1,,29.85,85,,9,C,,,,,7819
AAOZ,8.07,,-31.03,404,,21,,,,,,
AAPB,37.11,,0.4,-67,,75,D,,,,,74
AAPD,11.38,,-0.03,-37,,8,B,,,,,9608
AAPE,14.01,,0.32,-26,,29,,,,,,
AAPR,29.81,,-0.03,-20,,51,E,,,,,4
AAPU,38.16,,0.42,-45,,68,D,,,,,1999
AAPW,38.46,,0.63,-66,,12,E,,,,,19
AAPX,34.4,,0.82,-53,,70,D,,,,,47
AAPY,25.55,,0.28,200,,41,C-,,,,,7
AAUA,59.26,,-0.19,-68,,63,C,,,,,4
AAUB,51.77,,-0.28,-95,,52,,,,,,
AAUS,62.18,,-0.17,-97,,78,C-,,,,,11
AAVM,34.89,,,-97,,69,A-,,,,,1
AAXJ,115.81,,-0.09,-63,,78,E,,,,,558
ABCS,36.53,,-0.06,-41,,95,A+,,,,,2
ABEQ,38.88,,0.32,-46,,59,B-,,,,,12
ABFL,84.63,,,-11,,83,B+,,,,,14
ABI,24.79,,,-66,,29,C,,,,,0
ABIG,35.8,,-0.65,-89,,82,C,,,,,2
ABLD,32.48,,0.75,39,,54,B,,,,,9
ABLG,31.9,,,-94,,35,A,,,,,2
ABLS,23.54,,0.52,-90,,82,C,,,,,2
ABOT,43.88,,-1.03,646,,89,A+,,,,,0
ABUF,27.7,,0.12,-99,,53,C,,,,,6
ABXB,19.17,,,-96,,15,E,,,,,0
ACAA,10.02,,0.14,-100,,,C,,,,43,18
ACEI,23.57,,-0.91,17,,13,C,,,,,27
ACEP,20.91,,,-99,,81,C-,,,,,3
ACES,32.55,,0.43,-45,,18,E,,,,,77
ACGC,9.98,,-0.2,-100,,,,,,,31,80
ACGO,38.87,,,-100,,33,,,,,,15
ACGR,71.78,,,-97,,69,D,,,,,0
ACHX,42.99,,,-93,,66,,,,,,
ACII,25.73,,-0.26,-17,,43,C,,,,,49
ACIO,47.58,,-0.06,-35,,61,A,,,,,141
ACKY,18.33,,-0.62,86,,10,C,,,,,23
ACLC,87.26,,-0.35,-55,,77,B+,,,,,13
ACLO,50.41,,0.01,-84,,41,D,,,,,32
ACLZ,14.31,,-4,-72,,20,,,,,,
ACMM,13.34,,-0.93,-82,,20,,,,,,
ACP,5.14,,0.19,-38,,9,C-,,,,27,482
ACQQ,24.99,,-0.48,,,,,,,,,
ACRT,25.16,,0.4,,,,,,,,,
ACSG,50.85,,0.49,-87,,95,C,,,,,7
ACSI,78.14,,-0.08,-58,,91,A,,,,,0
ACSP,24.96,,-0.48,,,,,,,,,
ACSV,51.23,,,-99,,96,D,,,,,3
ACTS,27.45,,0.11,-74,,39,D-,,,,,12
ACV,27.55,,0.47,59,,55,D-,,,,78,27
ACVF,56.62,,-0.3,55,,86,A,,,,,5
ACVT,28.73,,,-99,,64,D-,,,,,1
ACVU,32.51,,0.03,-71,,92,A,,,,,8
ACWI,162.29,,-0.12,-11,,78,A,,,,,3069
ACWV,126.77,,0.01,-50,,60,A-,,,,,106
ACWX,77.87,,-0.05,-28,,77,D,,,,,1820
ACYN,20.74,,-0.1,-10,,37,C,,,,,1727
ACYQ,20.9,,-0.12,-61,,49,,,,,,
ACYS,20.51,,,-14,,41,C-,,,,,347
ADBG,4.71,,-4.99,-69,,35,C,,,,,7045
ADBU,26.66,,-4.31,-74,,61,C,,,,,63
ADDS,25.74,,-0.43,-64,,43,,,,,,13
ADIG,21.24,,-17.74,122,,,,,,,24,
ADIU,11.68,,3.87,49,,23,,,,,,
ADIV,19.73,,-0.1,-43,,56,A,,,,,6
ADME,57.09,,-0.22,-29,,67,A,,,,,15
ADPV,46.11,,0.2,10,,51,D,,,,,10
ADVE,46.78,,0.28,-35,,68,E,,,,,1
ADX,26.29,,-0.49,-35,,83,A-,,,,78,293
AEAQ,10.05,,-0.35,-100,,,C,,,,47,26
AEF,9.52,,0.32,-59,,75,C-,,,,88,149
AEHG,19.08,,18.11,137,,65,,,,,,
AESP,9.94,,0.1,-98,,,,,,,,
AESR,20.46,,-0.11,-47,,57,C,,,,,111
AETH,29.77,,0.01,-6,,6,B+,,,,,1
AEXA,11.54,,-0.09,-85,,,E,,,,49,102
AFB,11.11,,0.82,-49,,43,D+,,,,30,80
AFGR,37.79,,-0.54,0,,69,A,,,,,7
AFIF,9.43,,0.05,-69,,40,C-,,,,,210
AFIX,24.45,,-0.31,-77,,15,C,,,,,26
AFJK,12.2,,1.67,-92,,,E,,,,97,23
AFK,27.91,,-1.03,-1,,46,B,,,,,69
AFLG,45.27,,-0.15,-42,,80,B,,,,,66
AFMC,42.01,,0.32,-57,,91,B,,,,,31
AFOS,47.09,,0.58,53,,96,D-,,,,,9
AFRU,11.56,,0.3,-79,,61,E,,,,,31
AFSC,40.01,,0.21,89,,97,C-,,,,,0
AFSM,41.53,,0.8,-30,,96,A,,,,,17
AGD,12.47,,0.73,-47,,42,B-,,,,86,115
AGEM,48.83,,-0.04,-68,,81,C-,,,,,19
AGG,97.48,,-0.21,-13,,18,E,,,,,8635
AGGA,24.91,,-0.24,-84,,22,E,,,,,16
AGGH,19.89,,-0.2,-25,,13,E,,,,,230
AGGS,40.3,,-0.22,-74,,19,A,,,,,1
AGGY,42.74,,-0.28,-59,,14,E,,,,,142
AGIQ,25.61,,-1.22,-9,,89,C,,,,,6
AGIX,46.68,,0.26,-51,,94,C,,,,,286
AGMI,72.23,,1.23,-37,,46,B,,,,,2
AGNG,38.07,,-0.39,-58,,75,A-,,,,,15
AGOX,34.53,,-0.57,51,,69,B+,,,,,59
AGQ,79.3,,1.12,-31,,27,D,,,,,2547
AGQI,18.79,,-0.09,26,,76,B,,,,,4
AGRW,33.15,,-0.81,-93,,72,C,,,,,1
AGZ,108.68,,-0.22,-40,,25,E,,,,,14
AGZD,22.57,,-0.09,-78,,41,D,,,,,66
AHD,26.18,,-0.85,74,,50,,,,,,2
AHLT,29.54,,0.85,-90,,55,E,,,,,19
AHYB,46.04,,-0.09,156,,26,E,,,,,2
AIA,138.92,,-0.13,-57,,91,D,,,,,457
AIBD,46.87,,1.8,-99,,4,E,,,,,9
